以下は動画の、タイトル、年代、視聴回数、のリストです。覚えてください。今回は返答はいりませんが覚えた動画タイトル数だけ教えてください。

仮想通貨とNFTで騙される人②情報漏れとハッキングを防ぐ方法	2 日前	150,897 
もしも徳川家康が総理大臣になったら①徳川内閣はコロナ禍の日本を救えるのか（What Would Happen if Tokugawa Were the Prime Minister?）	1 年前	793,963 
ソニー再生②20年ぶりに最高益7248億円を更新したソニー復活劇の立役者（Sony’s Revival）	1 年前	633,961 
ソニー再生①大赤字のソニーを救った異端のリーダーシップ（Sony’s Revival）	1 年前	936,546 
超ストレス解消法②ストレス対策はひろゆきさんの論破術で一人逆転裁判（Super Practical Steps to Reducing Stress）	1 年前	759,941 
超ストレス解消法①イライラの原因は全て決めつけ思考にあった（Super Practical Steps to Reducing Stress）	1 年前	643,347 
転職2.0②自分に一番向いている仕事の見つけ方（Career Change 2.0）	1 年前	567,752 
転職2.0①自分の強みを見つけて一番輝ける場所で働こう（Career Change 2.0）	1 年前	076,797 
世界最高の話し方②一番大事なスキルとは？（Tips from the World's Greatest Communicators）	1 年前	954,197 
世界最高の話し方①人生はいつからでも話し方で劇的に変えられる（Tips from the World's Greatest Communicators）	1 年前	524,214 
いつも誰かに振り回される人②言葉の力で自分と他人をケア（How To Stop Worrying About What Others Think）	1 年前	658,460 
いつも誰かに振り回される人①他人を優先しすぎて疲れているあなたへ（How To Stop Worrying About What Others Think）	1 年前	243,830 
がんばらない戦略②無駄な努力を捨てて大切な1％に集中（Strategies To Achieve Your Goals Without Any Extra Effort）	1 年前	737,122 
がんばらない戦略①習慣の力でがんばらずに成果を出す（Strategies To Achieve Your Goals Without Any Extra Effort）	1 年前	280,073 
ゼロ秒思考②マッキンゼー流のメモをするだけで自分に自信がつく（Think Fast）	1 年前	764,079 
ゼロ秒思考①思考を整理して悩みを解決するメモ術（Think Fast）	1 年前	255,501 
年収90万円で東京ハッピーライフ②やりたくない事さえしなければ優勝（Living Happily on 900000 JPY a Year in Tokyo）	1 年前	324,595 
年収90万円で東京ハッピーライフ①世間の常識に縛られず楽に生きよう（Living Happily on 900000 JPY a Year in Tokyo）	1 年前	945,464 

以下同様に動画の、タイトル、年代、視聴回数、のリストです。覚えてください。今回も返答はいりませんが覚えた合計動画タイトル数だけ教えてください。

糖質と肥満②健康と体型のために食べてはいけないものとどう食べるか（Sugar and Obesity）	1 年前	029,552 
糖質と肥満①ダイエットで気にすべきはカロリーではなく糖質（Sugar and Obesity）	1 年前	220,860 
夢をかなえるゾウ②成功者とは人喜ばせ合戦の勝者（Wish Granting Elephant）	1 年前	590,884 
夢をかなえるゾウ①絶対に成功できない凡人の特徴と成功者の鉄則（Wish Granting Elephant）	1 年前	616,170 
超加速経済アフリカ②最先端のテックビジネスはアフリカにある（Super Accelerated Economic Growth in Africa	1 年前	670,360 
超加速経済アフリカ①アフリカを学べば日本の未来が見えてくる（Super Accelerated Economic Growth in Africa）	1 年前	009,989 
後回しにしない技術②たった1％の行動さえできれば人生は大きく変わる（How to Stop Procrastinating）	1 年前	607,871 
後回しにしない技術①すぐやる人は成功者になれる（How to Stop Procrastinating）	1 年前	424,623 
2030年世界の大変化②シェアリング経済と国家通貨の崩壊（2030: How Today's Biggest Trends Will Collide and Reshape the Future）	1 年前	409,189 
2030年世界の大変化①アフリカとインドの時代が来る（2030: How Today's Biggest Trends Will Collide and Reshape the Future）	1 年前	633,855 
ミニマリスト②4段階の捨て方と捨てた後の変化（Be Happier With Less Stuff）	1 年前	621,591 
ミニマリスト①モノを減らすと本当の幸せが見つかる（Be Happier With Less Stuff）	1 年前	377,049 
会社がしんどいをなくす②ストレス危機は人生に3回訪れる（How to Reduce Stress at Work）	1 年前	749,232 
会社がしんどいをなくす①ストレスに負けず心地よく働く方法（How to Reduce Stress at Work）	1 年前	084,175 
内臓脂肪②脂肪を落とす食習慣と食べるべきもの（Visceral fat）	1 年前	266,027 
内臓脂肪①医者が教える我慢しないで痩せられる体の仕組み（Visceral fat）	1 年前	497,513 
人を動かすヤバい話し方②相手に好かれる媚の売り方…天才・頭いい・成功する（Effective Communication Techniques to Motivate People）	1 年前	623,136 
人を動かすヤバい話し方①元マルチ商法のプロが教える悪魔的手法（Effective Communication Techniques to Motivate People）	1 年前	268,138 
食べてはいけないもの②健康のために食べるべきものとは？（Foods You Shouldn't Eat）	1 年前	445,540 
食べてはいけないもの①他のメディアでは言えない病気になる食べ物とは？（Foods You Shouldn't Eat）	1 年前	545,116 
寄生獣②コロナ禍の今こそ読むべき名作…寄生生物の存在意義は「この種を食い殺せ」（Parasyte）	1 年前	532,670 
寄生獣①今こそ読むべき90年代伝説の漫画（Parasyte）	1 年前	002,862 
よけいなひと言を好かれるセリフに変える②人間関係がスムーズになる言葉のかけ方（How to Turn Negative Statements Into Positive）	1 年前	654,133 
よけいなひと言を好かれるセリフに変える①言い方で損をしないための11選（How to Turn Negative Statements Into Positive）	1 年前	796,780 
カラマーゾフの兄弟②父親殺しの真相に中田が涙（The Brothers Karamazov）	1 年前	601,541 
カラマーゾフの兄弟①ドストエフスキーの遺作にして最高傑作（The Brothers Karamazov）	1 年前	234,528 
メソポタミア神話②世界最古の英雄ギルガメッシュ叙事詩（Mesopotamian Myths）	1 年前	645,770 
メソポタミア神話①世界最古の神話（Mesopotamian Myths）	1 年前	687,852 
お酒をやめる②依存症危険度チェックとお酒をやめる方法（Quitting Alcohol）	1 年前	804,934 
お酒をやめる①酒は百薬の長ではない？アルコール依存の危険性とは？（Quitting Alcohol）	1 年前	692,633 
完全密着中田敦彦の1日ルーティン〜YouTube大学のつくり方〜（1Day Routine）	1 年前	785,977 
YOSHIKI×中田敦彦伝説のスーパースターついに降臨！記念碑的超豪華コラボ	1 年前	568,642 
稼げるビジネス②がっちり儲かる9つの秘密（The Secret of Money Making）	1 年前	964,350 
稼げるビジネス①今やってはいけないビジネスと稼げる原理原則（The Secret of Money Making）	1 年前	769,107 
エジプト神話②クレオパトラ・ツタンカーメンなど歴史的偉人が続々登場（Egyptian Myth）	1 年前	941,630 
エジプト神話①紀元前3000年の古代神話（Egyptian Myth）	1 年前	393,973 
安いニッポン②土地も人材も海外に買われていく日本（Cheap Japan）	1 年前	310,602 
安いニッポン①年収1400万円は低所得？価格が示す停滞（Cheap Japan）	1 年前	340,704 
呪術廻戦②アニメseason１までを中田の全力解説で「ぶっとべ」！（Jujutsu Kaisen）	1 年前	433,954 
呪術廻戦①中田が全力解説で領域展開！（Jujutsu Kaisen）	1 年前	704,398 

以下同様に動画の、タイトル、年代、視聴回数、のリストです。覚えてください。今回も返答はいりませんが覚えた合計動画タイトル数だけ教えてください。

新型コロナとワクチン②新世代ワクチンの革新性と日本の未来（Coronavirus Vaccinations in Japan）	1 年前	343,015 
新型コロナとワクチン①日本人がワクチンを打つ前に知っておくべき真実 （Coronavirus Vaccinations in Japan)）	1 年前	238,602 
ミャンマー・クーデター②現在も続くアウンサンスーチー拘束の真相（Myanmar's power struggle）	1 年前	623,186 
ミャンマー・クーデター①アウンサンスーチーvs国軍の権力闘争（Myanmar's power struggle）	1 年前	045,977 
ハンター×ハンター②冨樫先生へ感謝の正拳突き一万回的な全力解説！（HUNTER×HUNTER）	1 年前	900,682 
ハンター×ハンター①23年分の物語を全力一挙解説！（HUNTER×HUNTER）	1 年前	861,761 
人新世の資本論②人類危機の具体的な解決策とは？（"Capital" for the Anthropocene）	1 年前	362,401 
人新世の資本論①人類の経済活動が地球を破壊する時代（"Capital" for the Anthropocene）	1 年前	466,606 
推し、燃ゆ②推しメンの引退とファンの喪失感！中田の考察は？	1 年前	312,895 
推し、燃ゆ①芥川賞受賞作！推しが燃えた。ファンを殴ったらしい	1 年前	438,505 
デスノート②ライトvs L 天才同士の壮絶な頭脳戦（DEATH NOTE）	1 年前	082,385 
デスノート①このノートに名前を書かれた人間は死ぬ（DEATH NOTE）	1 年前	174,798 
宮迫×中田朝倉未来（前編）〜YouTube界を一瞬で制圧した脅威の格闘頭脳〜WinWinWiiin	1 年前	923,547 
危ない会社の見分け方②就職・転職・投資に役立つ会社の基礎知識（Fundamental Analysis）	2 年前	495,491 
危ない会社の見分け方①あなたの会社は良い会社？危ない会社？（Fundamental Analysis）	2 年前	995,758 
長ぐつをはいたねこ世界的痛快コメディー絵本（Puss in Boots）	2 年前	424,602 
100万回生きたねこ235万人が涙したロングセラー絵本（The Cat That Lived a Million Times）	2 年前	831,084 
お金の増やし方②リスクを冒さずお金持ちになる方法（How to Grow Your Money）	2 年前	929,647 
お金の増やし方①世界のお金持ちが実践する資産形成術（How to Grow Your Money）	2 年前	631,387 
WinWinWiiinヒカルさん出演回の舞台裏メイキング	2 年前	668,602 
宮迫×中田ヒカル（前編）〜カリスマYouTuber成功の秘密〜Win Win Wiiin	2 年前	017,028 
FIRE②収入アップと投資で早期リタイア（Financial Freedom）	2 年前	095,820 
FIRE①最速で経済的自立を実現する方法（Financial Freedom）	2 年前	689,930 
時間術大全②スマホを空っぽにして邪魔を消去（Make Time）	2 年前	902,551 
時間術大全①スマホ中毒から解放されて時間を取り戻す（Make Time）	2 年前	637,971 
お金の大学②事業所得を稼いで投資で増やす（Money University）	2 年前	289,863 
お金の大学①一生お金に困らない5つの力を身につける（Money University）	2 年前	759,955 
山本×宮迫×中田オリラジの吉本興業退所と未来について	2 年前	571,988 
宮迫×中田山本圭壱（前編）〜地獄から帰ってきた伝説の芸人〜WinWinWiiin	2 年前	054,854 
空腹こそ最強のクスリ②空腹時間が病気を遠ざける（Fasting Is the Best Medicine）	2 年前	632,651 
空腹こそ最強のクスリ①一日3食は間違いだった？無理なく痩せる食事法（Fasting Is the Best Medicine）	2 年前	158,482 
エッセンシャル思考②99％の無駄は勇気ある拒否（Essentialism）	2 年前	976,228 
エッセンシャル思考①いそがしすぎる人々へ（Essentialism）	2 年前	947,177 
2030年の未来予測②100年後の近未来がヤバい（The Future Is Faster Than You Think）	2 年前	714,567 
2030年の未来予測①アメリカ最先端テクノロジーから見た未来（The Future Is Faster Than You Think）	2 年前	317,791 
エヴァンゲリオン②旧劇・新劇一挙解説！そして最新作への考察（EVANGELION）	2 年前	110,905 
エヴァンゲリオン①アニメ版を全力一挙解説！（EVANGELION）	2 年前	494,214 
子供のほめ方しかり方②親の声かけ次第で子供は変わる（How to Praise and Correct Children's Behavior）	2 年前	734,238 
子供のほめ方しかり方①自分でできる子に育つ教育術（How to Praise and Correct Children's Behavior）	2 年前	606,372 
2040年の未来予測②衰退する日本と予測されるリスクとは？（Predictions for 2040）	2 年前	357,689 

以下同様に動画の、タイトル、年代、視聴回数、のリストです。覚えてください。今回も返答はいりませんが覚えた合計動画タイトル数だけ教えてください。

2040年の未来予測①次の時代の成功者になるには（Predictions for 2040）	2 年前	696,483 
クラウドファンディング②西野亮廣のクラファンを徹底分析（Crowdfunding）	2 年前	326,806 
クラウドファンディング①初心者でも成功できる鉄則（Crowdfunding）	2 年前	607,715 
自律神経②健康のカギは腸とウォーキング（Balancing Your Autonomic Nervous System）	2 年前	887,604 
自律神経①不眠や疲労感を根本的に解消するには（Balancing Your Autonomic Nervous System）	2 年前	660,816 
メイキングオリラジ吉本興業独立会見の裏側	2 年前	539,051 
オリエンタルラジオ吉本興業独立会見（前編）	2 年前	388,741 
最高の体調②環境を整えてストレスを無くす方法（How to Keep Your Body in Top Condition）	2 年前	475,932 
最高の体調①疲労・肥満・不眠から本来の自分を取り戻す（How to Keep Your Body in Top Condition）	2 年前	593,101 
モモ②時間に追われる現代人こそ読むべき児童文学（Momo）	2 年前	630,351 
モモ①時間貯蓄銀行と不思議な力を持つ少女（Momo）	2 年前	322,117 
「えんとつ町のプペル」宮迫博之×中田敦彦ver.MVメイキングWinWinWiiin	2 年前	703,660 
宮迫×中田西野亮廣（前編）〜12年 夢を信じぬいた男の死闘〜WinWinWiiin	2 年前	471,491 
WinWinWiiin第2弾のゲスト発表宮迫さんと打ち上げ＆反省会宮迫＆中田	2 年前	860,219 
読書術②本は偉人の話がいつでも聞ける装置（Reading Strategies）	2 年前	829,222 
読書術①たくさんの本を速く読めるテクニック（Reading Strategies）	2 年前	969,657 
2025年を制覇する企業②飲み込まれる業界と必要なスキル（The Companies Set to Dominate in 2025）	2 年前	957,922 
2025年を制覇する企業①GAFAだけじゃない…世界最先端11社（The Companies Set to Dominate in 2025）	2 年前	932,552 
アマゾン1人勝ち時代②アマゾン化する未来で生き残る方法（bezonomics）	2 年前	596,317 
アマゾン1人勝ち時代①コロナ後はアマゾンが世界経済を埋め尽くす（bezonomics）	2 年前	139,987 
オンラインサロン活用法②影響力を高めて仕事や生活に活かす方法（Benefits of Joining Online Communities）	2 年前	251,218 
オンラインサロン活用法①会社・地域・家族とは別のコミュニティで人生が変わる（Benefits of Joining Online Communities）	2 年前	499,178 
官邸vs携帯大手②携帯料金はなぜ下がらないのか？（Japanese Mobile Phone Carriers vs. the Government）	2 年前	560,862 
官邸vs携帯大手①菅総理の「四割下げる」発言…値下げを巡る1000日戦争（Japanese Mobile Phone Carriers vs. the Government）	2 年前	642,226 
ネットフリックスの成功②2億人の会員をどうして獲得できたのか？（NETFLIX and the Culture of Reinvention）	2 年前	556,007 
ネットフリックスの成功①世界一自由な会社の新常識（NETFLIX and the Culture of Reinvention）	2 年前	925,736 
メイキング of WinWinWiiin収録当日の舞台裏とオープニング撮影メイキング	2 年前	871,987 
宮迫×中田手越祐也（前編）〜ジャニーズ退所の真実！〜WinWinWiiin	2 年前	465,366 
約束のネバーランド②感動の最終話までエクストリーム解説（The Promised Neverland）	2 年前	489,742 
約束のネバーランド①その楽園から脱獄せよ（The Promised Neverland）	2 年前	010,980 
反応しない練習②競争社会で悩まず生きるための正しい動機とは？（The Practice of Non-Reactivity -Teachings of the Buddha）	2 年前	127,149 
反応しない練習①あらゆる悩みが消えていくブッダの考え方（The Practice of Non-Reactivity -Teachings of the Buddha）	2 年前	182,670 
繊細さんの知恵袋②自信の持ち方？苦手な人との接し方？SNSの向き合い方？（Pearls of Wisdom for Highly Sensitive People）	2 年前	491,631 
繊細さんの知恵袋①仕事や人間関係の悩みが軽くなる知恵（Pearls of Wisdom for Highly Sensitive People）	2 年前	087,725 
人は話し方が9割②自己紹介と悩み相談でもう悩まない（Nine Out of Ten, Your Words Change Your Life）	2 年前	271,335 
人は話し方が9割①100％好かれる話し方がある（Nine Out of Ten, Your Words Change Your Life）	2 年前	619,296 
ロミオとジュリエット②2人に襲いかかる悲劇とは？（Romeo and Juliet）	2 年前	327,261 
ロミオとジュリエット①シェイクスピアの恋愛悲劇（Romeo and Juliet）	2 年前	718,970 
やりたいことの見つけ方②情熱×才能を仕事の目的で絞る（How to Find Out What You Want to Do in Life）	2 年前	232,020 
やりたいことの見つけ方①人生のモヤモヤから解放される自己理解メソッド（How to Find Out What You Want to Do in Life）	2 年前	814,188 

以下同様に動画の、タイトル、年代、視聴回数、のリストです。覚えてください。今回も返答はいりませんが覚えた合計動画タイトル数だけ教えてください。

ずるい言葉②区別ではなく差別を生む言葉を見破ろう（Common Expressions People Use That Hurt You）	2 年前	614,811 
ずるい言葉①あなたを閉じこめる言葉を見抜き自分らしく生きていく（Common Expressions People Use That Hurt You）	2 年前	474,310 
育ちがいい人だけが知っていること②品がにじみ出る話し方と見た目とは？（Etiquette Habits Only Well-Mannered People Know）	2 年前	263,235 
育ちがいい人だけが知っていること①育ちの良さは身につけられる（Etiquette Habits Only Well-Mannered People Know）	2 年前	491,668 
マネーマシンの作り方②投資のスタンダードは分散＆長期保有（Invest your money and make it grow）	2 年前	387,139 
マネーマシンの作り方①株と債券は具体的にどう買えばいいのか？（Invest your money and make it grow）	2 年前	326,769 
働かないで生きていく②アメリカで話題沸騰の生き方（FIRE）	2 年前	347,846 
働かないで生きていく①最強の早期リタイア術〜遊んで暮らして金もある〜（FIRE）	2 年前	680,406 
中田敦彦×福田萌②爆笑結婚秘話と喧嘩と子育て	2 年前	486,951 
中田敦彦×福田萌①300万人登録記念 夫婦初共演！	2 年前	784,159 
GACKT×中田敦彦海外移住・生き方・ビジネス・ボランティアを語る	2 年前	770,610 
中田敦彦vsGACKT〜月夜の魔王〜XENO ゼノ	2 年前	444,235 
働きすぎない生き方②毎日投稿＆多チャンネル展開…もう働くな（Live a life without working too hard）	2 年前	442,669 
働きすぎない生き方①1日100食限定の佰食屋〜業績至上主義からの解放（Live a life without working too hard）	2 年前	671,521 
平家物語②平清盛の滅亡と源義経の台頭（The Tale of the Heike）	2 年前	352,779 
平家物語①日本人なら知っておくべき平氏と源氏の戦い（The Tale of the Heike）	2 年前	133,001 
話しかけたくなる人、ならない人②話しかけたくない人になる落とし穴（How to look more approachable）	2 年前	718,280 
話しかけたくなる人、ならない人①人に好かれる好印象の魔法（How to look more approachable）	2 年前	092,999 
老いなき世界②老化を治して若返る行動と薬とは？（LIFE SPAN）	2 年前	883,866 
老いなき世界①老化は治療できる病！いつまでも若く生きられる（LIFE SPAN）	2 年前	455,179 
ヴィーガン②日本人は元々ベジタリアンだった（Vegan）	2 年前	636,084 
ヴィーガン①世界中のセレブやスポーツ選手が注目している完全菜食主義（Vegan）	2 年前	170,156 
ずっとやりたかったことをやりなさい②未来の秘密はルーティンの中にある（It's Never Too Late to Begin Again）	2 年前	024,848 
ずっとやりたかったことをやりなさい①忘れていた夢を叶えた人続出の全米ベストセラー（It's Never Too Late to Begin Again）	2 年前	801,575 
山奥ニート②実は時代の最先端を走る生き方（Mountain NEETs）	2 年前	729,728 
山奥ニート①なるべく働かずに楽して生きていく（Mountain NEETs）	2 年前	414,913 
サステナブル × イノベーション②日本が再び世界で勝つには？（Sustainability × Innovation）	2 年前	329,963 
サステナブル × イノベーション①次に勝つのは地球に優しい人（Sustainability × Innovation）	2 年前	652,490 
異常気象と気候変動②世界から批判を受ける日本の環境対策（Extreme Weather and Climate Change）	2 年前	728,411 
異常気象と気候変動①地球に住めなくなる日（Extreme Weather and Climate Change）	2 年前	349,390 
Nas Daily×中田敦彦3000万フォロワーの世界的クリエイターと英語対談！ 　Talk with world-famous creator "Nas Daily"	2 年前	793,436 
アメリカ大統領選2020②日本への影響＆菅新総理との相性は？（US Presidential Election）	2 年前	587,325 
アメリカ大統領選2020①トランプ vs バイデン！4年に1度の大イベント（US Presidential Election）	2 年前	875,957 
最強の英語独学②オンライン英会話＆スマホ活用法（The Best Way to Learn English）	2 年前	036,067 
最強の英語独学①SNS世代の最先端英語学習法（The Best Way to Learn English）	2 年前	978,111 
書店業界の危機②書店員のジレンマと未来への提言（Bookstores in crisis）	2 年前	313,839 
書店業界の危機①スマホが書店の主力商品を駆逐（Bookstores in crisis）	2 年前	483,750 
対人関係②愛され力は笑顔とボディーランゲージで決まる（People Skills for Life）	2 年前	275,758 
対人関係①カリスマや愛される人は後天的に作れる（People Skills for Life）	2 年前	833,518 
自民党総裁選②菅氏 石破氏 岸田氏の思惑とは？（Japan's LDP election）	2 年前	616,490 

以下同様に動画の、タイトル、年代、視聴回数、のリストです。覚えてください。今回も返答はいりませんが覚えた合計動画タイトル数だけ教えてください。

自民党総裁選①ポスト安倍はすでに決まっている！（Japan's LDP election）	2 年前	857,406 
半沢直樹②大和田と直接対決＆ヒット理由を考察（Hanzawa Naoki）	2 年前	630,452 
半沢直樹①小説版の完全再現＆ヒット理由の徹底解説！（Hanzawa Naoki）	2 年前	974,268 
日本史散歩⑧後編メディア業界に60年ぶりのパラダイムシフト「次回から授業再開」赤坂グルメ	2 年前	214,997 
日本史散歩⑧前編赤坂氷川神社〜中田が最も愛する神社は日本史の中心地〜	2 年前	212,340 
日本史散歩⑦後編夏休みを経て9月から始動する「中田の世界戦略」湯島グルメ	2 年前	171,053 
日本史散歩⑦前編湯島天満宮〜中田を慶應義塾大学現役合格に導いた神社〜	2 年前	173,557 
日本史散歩⑥後編YouTubeに本気のかまいたちさんに心打たれる「とんかつ」大門グルメ	2 年前	224,033 
日本史散歩⑥前編増上寺〜徳川将軍家の菩提寺＆東京タワー〜	2 年前	214,133 
日本史散歩⑤後編絶対流行るスイーツと最強の肉料理＆乃木坂46との思い出乃木坂グルメ	2 年前	182,857 
日本史散歩⑤前編乃木神社建築〜明治を象徴する軍人乃木希典と乃木坂46の聖地〜	2 年前	267,933 
日本史散歩④後編ホッピー通りで昼呑み＆宮迫さんトーク番組ゲストが決定浅草グルメ	2 年前	282,302 
日本史散歩④前編浅草寺〜東京屈指の観光地「コロナ収束後に訪問したい国 第1位」〜	2 年前	221,900 
日本史散歩③後編半沢さん…やられてもやり返すな仏教だ＆中田の子育て論築地グルメ	2 年前	277,392 
日本史散歩③前編築地本願寺！中田が最も思い入れのあるお寺に大興奮	2 年前	372,385 
日本史散歩②後編妻との馴れ初め＆テレビ業界の闇「九頭龍蕎麦」神楽坂グルメ	2 年前	438,311 
日本史散歩②前編神田東京大神宮〜歴史情緒溢れる神楽坂と縁結び〜	2 年前	198,521 
宮迫×中田始まりの日！WinWinWiiinはここから始まった	2 年前	059,871 
日本史散歩①後編神主さんおすすめのラーメン＆食レポの闇「赤坂一点張」赤坂グルメ	2 年前	338,347 
日本史散歩①前編赤坂日枝神社〜日本の歴史を東京の街から探すロケ〜	2 年前	487,128 
新時代のリーダー②社会貢献は第5次産業革命の生存戦略	2 年前	323,023 
新時代のリーダー①世界最高のしくじり先生は社会貢献に声を上げる経営者	2 年前	662,751 
育児と教育②刺激と運動で心を養う＆才能とセンスは育てられる	2 年前	786,382 
育児と教育①子供の身体と才能を育てるモンテッソーリ教育	2 年前	633,781 
繊細さんの幸せリスト②本音で表現すると人生の同期と出会える	2 年前	645,484 
繊細さんの幸せリスト①繊細さは「幸せを感じるため」の才能	2 年前	357,468 
リモートワーク②新時代の働き方に向いている人材とは？	2 年前	231,778 
リモートワーク①好きな場所で働く新時代のワークスタイル	2 年前	367,570 
中田史上最高の絵本②自己肯定感が高まる絵本＆中田が涙した絵本	2 年前	301,873 
中田史上最高の絵本①子供も楽しめて大人の心にも残る絵本4選	2 年前	583,642 
北欧神話②神々vs巨人の最終戦争！最後に生き残った種族とは？	2 年前	812,817 
北欧神話①ファンタジーの原点！神々と巨人のキングオブ神話	2 年前	643,977 
LGBT②日本におけるセクシャルマイノリティの議論とは？	2 年前	281,440 
LGBT①セクシャルマイノリティやトランスジェンダーの理解を深めよう	2 年前	572,211 
がんばらない働き方②LINEは9割既読スルーしていい！	2 年前	117,662 
がんばらない働き方①Google式仕事術「やらないことリスト」	2 年前	673,544 
進撃の巨人②最新話でとんでもない衝撃の展開 ※ネタバレ注意	2 年前	998,691 
進撃の巨人①リクエストNo.1ダークファンタジーバトル漫画	2 年前	227,024 
古舘伊知郎×中田敦彦中田の心の師！喋りの天才に心得を学ぶ	2 年前	462,800 
世界で話題の展覧会バンクシー展＆都内にあるバンクシーアート探し	2 年前	355,696 

以下同様に動画の、タイトル、年代、視聴回数、のリストです。覚えてください。今回も返答はいりませんが覚えた合計動画タイトル数だけ教えてください。

アンガーマネジメント②怒りそうになった時の対処法と長期改善策	2 年前	770,407 
アンガーマネジメント①怒りで失敗しないために今最も必要なスキル	2 年前	337,312 
質問力②相手に感謝される最高の質問とは？	2 年前	737,314 
質問力①優れている人からいい答えを引き出せば人生が変わる	2 年前	387,132 
坊っちゃん②江戸から明治の変わり目に散っていった敗者の美学	2 年前	527,996 
坊っちゃん①夏目漱石の国民的名作〜中田史上No.1文学〜	2 年前	897,752 
バンクシー②正義か悪か？反資本主義かプロモーションか？	2 年前	588,397 
バンクシー①正体不明の芸術テロリスト〜天才か反逆者か〜	2 年前	120,268 
寄付をしてみよう②寄付をする達成感や幸福感は非難されるものか？	2 年前	197,304 
寄付をしてみよう①大切なお金の使い方	2 年前	358,364 
YouTube大学の歴史学ぶって、楽しい。	2 年前	357,719 
中田敦彦のしくじり武勇伝人は何者にでもなれる、いつからでも。	2 年前	493,259 
危険人物をリーダーに選ばないために②3つの対策とは？	2 年前	324,367 
危険人物をリーダーに選ばないために①民主政治の落とし穴とは？	2 年前	562,332 
英語の授業②中田の結論は英語字幕つきの会話動画をシャドーイング	2 年前	159,669 
英語の授業①日本人はなぜ英語が話せないのか？	2 年前	481,049 
風の谷のナウシカ②宮崎駿の予言書！マスクなしでは生きられない世界	2 年前	294,545 
風の谷のナウシカ①宮崎駿監督によるジブリ不朽の名作漫画	2 年前	796,877 
ぼくはイエローでホワイトで、ちょっとブルー②複雑化する人種差別	2 年前	514,164 
ぼくはイエローでホワイトで、ちょっとブルー①ノンフィクション本大賞	2 年前	880,248 
リー・クアンユー②シンガポール躍進の軌跡	2 年前	624,285 
リー・クアンユー①シンガポールを経済大国に導いた首相の壮絶な半生	2 年前	034,969 
中国デジタル革命②アジアNo.1大学の清華大学生が見た中国教育	2 年前	960,967 
中国デジタル革命①日本人が知らない世界最先端を走る中国のリアル	2 年前	526,376 
税金から逃げる大企業②GAFAの逃税と中国の天才的戦略	2 年前	702,179 
税金から逃げる大企業①国家を崩壊させてきたのは実は税金？	2 年前	034,013 
お金の授業総まとめ②中田の結論は米国株「○○○」を一括購入	2 年前	655,397 
お金の授業総まとめ①計16冊のお金の本を読み込んだ中田の結論は？	2 年前	872,733 
お金の守り方②支出の把握と貯金をしたら複利でお金持ちになろう	2 年前	345,010 
お金の守り方①絶対にやってはいけないリボ払い・ローン・貯蓄型保険	2 年前	558,963 
株投資②金が金を生む米国株高配当マネーマシンの育て方	2 年前	213,505 
株投資①誰でも稼げる米国株投資〜富裕層になるための鉄則〜	2 年前	871,614 
預金か投資か②低金利の銀行預金から儲かる株投資に切り替えよ	2 年前	635,336 
預金か投資か①大人も子供も知っておくべきお金の増やし方入門	2 年前	046,863 
コロナ後の世界情勢2020②劣等感の日本と安倍政権の失策	2 年前	685,313 
コロナ後の世界情勢2020①衰退する欧米と台頭する中国	2 年前	921,598 
繊細さん②人間関係や仕事がラクになる「逃げていいんです」	2 年前	290,669 
繊細さん①気がつきすぎて疲れる人へ今日からできる実践テクニック	2 年前	302,429 
コロナ後の経済②勝つためにはグローバル×デジタルじゃないとヤバい	2 年前	771,581 
コロナ後の経済①リーマンショックを超える経済危機からの復興計画	2 年前	216,553 

以下同様に動画の、タイトル、年代、視聴回数、のリストです。覚えてください。今回も返答はいりませんが覚えた合計動画タイトル数だけ教えてください。

脳②感情の生まれ方・運動神経の仕組み・恐ろしい脳の病気	2 年前	638,454 
脳①記憶や感情は脳の中でどうやって作られるのか？	2 年前	186,264 
アートの見方②賛否両論のイノベーションを巻き起こした天才芸術家	2 年前	545,461 
アートの見方①アートの固定観念を壊した6人の芸術家	2 年前	845,849 
老人と海②文学界に多大な影響を与えたヘミングウェイの生涯とは？	2 年前	360,047 
老人と海①ノーベル文学賞作家ヘミングウェイ晩年の傑作	2 年前	544,372 
ヒトラーvsチャップリン②映画「独裁者」で笑いという名の爆弾投下	2 年前	925,870 
ヒトラーvsチャップリン①最も憎まれた独裁者と最も愛された喜劇王	2 年前	601,543 
ディズニー②スティーブ・ジョブズ vs ディズニー6代目CEO	2 年前	474,417 
ディズニー①テレビ局の雑用係からディズニーCEOへ奇跡の実話	2 年前	739,133 
一流の雑談力②あなたも「コミュ力おばけ藤森慎吾」になれる	2 年前	524,876 
一流の雑談力①コミュ力を身につければ仕事も人間関係も良くなる	2 年前	681,044 
フリーメイソン②西野亮廣は現代の秘密結社を作っている？	2 年前	617,026 
フリーメイソン①暴いてはいけない秘密結社の真実に迫る	2 年前	582,715 
自己肯定感②が高まる言葉の使い方！〜地球に生まれてよかった〜	2 年前	921,656 
自己肯定感①が高まれば人生が楽になる。〜きっと大丈夫〜	2 年前	102,887 
ロスチャイルド家②ユダヤ人大富豪にまつわる陰謀論の真実	2 年前	245,731 
